internal_taxon_name;taxonKey
Cucullia lactucae;5109722
Cucullia scopariae;5109503
Cucullia tanaceti;5109686
Cucullia umbratica;5109523
Cucullia xeranthemi;5109557
Cybosia mesomella;1804906
Cyclophora albiocellaria;5149780
Cyclophora annularia;5149768
Cyclophora porata;5149659
Cyclophora punctaria;5149665
Cyclophora puppillaria;5149787
Cyclophora quercimontaria;5149820
Cyclophora ruficiliaria;5149784
Cyclophora suppunctaria;5149667
Diaphora luctuosa;9045573
Cymbalophora pudica;1814552
Cymbalophora rivularis;1814550
Daphnis nerii;1862401
Dasycorsa modesta;1985573
Deilephila elpenor;1864377
Deilephila porcellus;1864358
Deltote pygarga;4532890
Diachrysia chrysitis;1785888
Diacrisia purpurata;9356359
Diacrisia sannio;4532544
Diaphora mendica;6097214
Diarsia mendica;4533433
Dichagyris candelisequa;4533882
Dichagyris melanura;165795523
Dichagyris renigera;1789359
Dicranura ulmi;6201790
Dicycla oo;1765954
Diloba caeruleocephala;1777253
Anarta melanopa;1789553
Anarta odontites;4534162
Anarta stigmosa;4534172
Anarta trifolii;4534166
Divaena haywardi;1786816
Drasteria cailino;7701550
Drymonia dodonaea;8397564
Drymonia querna;7937573
Drymonia ruficornis;5118892
Dypterygia scabriuscula;1776862
Dysauxes ancilla;1814630
Dysauxes famula;165796758
Dyscia raunaria;1959429
Dyscia innocentaria;157944295
Dysgonia algira;1798504
Dysgonia torrida;1798481
Dyspessa ulula;1731263
Earias clorana;1803073
Earias syriacana;1803097
Ectropis crepuscularia;7808845
Egira anatolica;1792083
Eilema caniola;8041200
Eilema complana;5116609
Eilema costalis;5116689
Eilema depressa;5116850
Eilema lurideola;5116620
Eilema lutarella;5117049
Eilema palliatella;5116897
Eilema pygmaeola;5116669
Eilema rungsi;5116867
Eilicrinia trinotata;1963709
Elaphria venustula;1780378
Ematurga atomaria;1956440
Ennomos quercaria;4524424
Entephria cyanata;5149569
Entephria flavicinctata;7769543
Entephria nobiliaria;5149597
Epilecta linogrisea;1787064
Epimecia ustula;1774272
Epipsilia cervantes;1786947
Epipsilia grisescens;1786936
Epirrhoe alternata;8361848
Epirrhoe galiata;1964637
Epirrita christyi;4523556
Epirrita dilutata;4523564
Episema glaucina;1786619
Caradrina gilva;1764987
Eriopygodes imbecilla;1794361
Eublemma amoena;8103163
Eublemma himmighoffeni;4532201
Eublemma minutata;4532253
Eublemma ostrina;4532203
Eublemma parva;4532206
Eublemma purpurina;4532239
Honeyania ragusana;4532269
Eublemma rosea;4532242
Eucarta amethystina;8393221
Euchalcia chlorocharis;1770497
Euchalcia modestoides;4532929
Euchoeca nebulata;1988881
Euclidia glyphica;1798408
Eucrostes indigenata;1968837
Eugnorisma depuncta;4533661
Gandaritis pyraliata;4523983
Eumannia oppositaria;1978094
Eumera regina;1962133
Euphyia biangulata;1965208
Euphyia frustata;1965197
Camptogramma scripturata;4524362
Eupithecia absinthiata;1983896
Eupithecia actaeata;1983758
Eupithecia breviculata;1984033
Eupithecia carpophagata;1983767
Eupithecia centaureata;1983525
Eupithecia cretaceata;1982533
Eupithecia cuculliaria;165669414
Eupithecia distinctaria;1983535
Eupithecia dodoneata;1983442
